IDENTIFIER: Reference ID,FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,Grain_Size,PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),Hardness,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),Yield_Strength,Tensile_Strength,PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm)
96,Al0.25 Cr0.5 Nb0.5 Ti1 V0.25,BCC,CAST,BCC,20.0,,5.8,476.0,C,25.0,1240.0,1004.0,,,,134.0,,,
97,Al1 Cr0.5 Nb1 Ti1 V1,BCC,ANNEAL,BCC,20.0,,5.6,476.0,C,600.0,1005.0,1045.0,,,,119.0,,,
97,Al1 Cr0.5 Nb1 Ti1 V1,BCC,ANNEAL,BCC,20.0,,5.6,476.0,C,800.0,640.0,685.0,,,,119.0,,,
97,Al1 Cr0.5 Nb1 Ti1 V1,BCC,ANNEAL,BCC,20.0,,5.6,476.0,C,1000.0,40.0,80.0,,,,119.0,,,
97,Al1 Cr0.5 Nb1 Ti1 V1,BCC,ANNEAL,BCC,20.0,,5.6,476.0,C,25.0,1300.0,1430.0,,,,119.0,,,
97,Al0.667 Cr1 Nb0.667 Ti0.667 V0.667,BCC+Laves,ANNEAL,other,20.0,,5.9,476.0,C,600.0,1370.0,1480.0,,,,,,,
97,Al0.667 Cr1 Nb0.667 Ti0.667 V0.667,BCC+Laves,ANNEAL,other,20.0,,5.9,476.0,C,800.0,970.0,1045.0,,,,,,,
97,Al0.667 Cr1 Nb0.667 Ti0.667 V0.667,BCC+Laves,ANNEAL,other,20.0,,5.9,476.0,C,1000.0,75.0,105.0,,,,,,,
97,Al0.667 Cr1 Nb0.667 Ti0.667 V0.667,BCC+Laves,ANNEAL,other,20.0,,5.9,476.0,C,25.0,1700.0,1700.0,,,,,,,
97,Al1 Cr1 Nb1 Ti1 V1,BCC+Laves,ANNEAL,other,20.0,,5.8,476.0,C,600.0,1015.0,1060.0,,,,,,,
97,Al1 Cr1 Nb1 Ti1 V1,BCC+Laves,ANNEAL,other,20.0,,5.8,476.0,C,800.0,860.0,895.0,,,,,,,
97,Al1 Cr1 Nb1 Ti1 V1,BCC+Laves,ANNEAL,other,20.0,,5.8,476.0,C,1000.0,65.0,95.0,,,,,,,
97,Al1 Cr1 Nb1 Ti1 V1,BCC+Laves,ANNEAL,other,20.0,,5.8,476.0,C,25.0,1550.0,1570.0,,,,,,,
97,Al1 Nb1 Ti1 V1,BCC,ANNEAL,BCC,20.0,,5.5,476.0,C,600.0,780.0,1005.0,,,,104.0,,,
97,Al1 Nb1 Ti1 V1,BCC,ANNEAL,BCC,20.0,,5.5,476.0,C,800.0,560.0,700.0,,,,104.0,,,
97,Al1 Nb1 Ti1 V1,BCC,ANNEAL,BCC,20.0,,5.5,476.0,C,1000.0,110.0,1004.0,,,,104.0,,,
97,Al1 Nb1 Ti1 V1,BCC,ANNEAL,BCC,20.0,,5.5,476.0,C,25.0,1000.0,1280.0,,,,104.0,,,
140,Al0.3 Co1 Cr1 Fe1 Ni1,FCC+B2+Sec.,WROUGHT,other,0.71,,7.6,476.0,T,25.0,900.0,1074.0,25.0,,,,,,
151,Cr0.5 Fe1 Mn0.625 Ni0.375,FCC+BCC,CAST,other,75.0,,7.8,476.0,C,25.0,219.0,1004.0,,,,,,,
151,Al0.05 Cr0.5 Fe1 Mn0.625 Ni0.375,FCC+BCC,CAST,other,20.0,,7.6,476.0,C,25.0,354.0,1004.0,,,,,,,
151,Al0.15 Cr0.5 Fe1 Mn0.625 Ni0.375,FCC+BCC,CAST,other,20.0,,7.4,476.0,C,25.0,550.0,1004.0,,,,,,,
151,Al0.25 Cr0.5 Fe1 Mn0.625 Ni0.375,B2+BCC,CAST,other,175.0,,7.2,476.0,C,25.0,994.0,1004.0,,,,,,,
151,Al0.35 Cr0.5 Fe1 Mn0.625 Ni0.375,B2+BCC,CAST,other,175.0,,6.9,476.0,C,25.0,942.0,1004.0,,,,,,,
151,Cr0.5 Fe1 Mn0.625 Ni0.375,FCC+BCC,CAST,other,20.0,,7.8,476.0,C,400.0,132.0,1004.0,,,,,,,
151,Al0.05 Cr0.5 Fe1 Mn0.625 Ni0.375,FCC+BCC,CAST,other,20.0,,7.6,476.0,C,400.0,260.0,1004.0,,,,,,,
151,Al0.15 Cr0.5 Fe1 Mn0.625 Ni0.375,FCC+BCC,CAST,other,20.0,,7.4,476.0,C,400.0,469.0,1004.0,,,,,,,
